City,Facility Name,Full Address,Phone,Latitude,Logitude,Aliases (optional)
Brampton,Brampton St. Aidan YMCA Day Camp,"34 Buick Blvd Brampton, ON L7A 3B9",(647) 448-9400,-79.837,43.696,
Brampton,Brampton Union St. YMCA Centre,"20 Union St, Brampton ON L6V 1R2",(905) 451-9622,-79.759463,43.687797,
Brampton,Brampton Wilderness Centre,,,,,Brampton Wilderness Centre
Mississauga,Brandon Gate Public School,3800 Brandon Gate Drive,,43.7323243,-79.64087547,
Mississauga,Brickyard Park P-416,3061 Clayhill Road,,43.57241967,-79.62888008,Brickyard Park - P-416
Mississauga,Brookmede Park,2254 Council Ring Rd Mississauga On L5L-1B7,311,43.53686345,-79.67520961,Brookmede Park - P-078 
Mississauga,Burnhamthorpe CC                        ,1500 Gulleden Dr Mississauga On L4X-2T7,905-615-4630,43.62261291,-79.59884933,Burnhamthorpe CC
Caledon,Caledon Library - Albion Bolton Branch,150 Queen Street South  Bolton ON L7E 1E3,905-857-1400,43.875917,-79.735379,
Caledon,Caledon Library - Alton Branch,"35 Station Street  Caledon, ON L7K 0E2",519-941-5480,43.858796,-80.064762,
Caledon,Caledon Library - Belfountain Branch,"17247 Shaw's Creek Road  Caledon, On  L7K 0E8",519-927-5701,43.788351,-80.018309,
Caledon,Caledon Library - Caledon East Branch,"6500 Old Church Road  Caledon, ON  L7C 0H3",905-584-1456,43.878737,-79.855072,
Caledon,Caledon Library - Caledon Village Branch,18318 Hurontario St.  Caledon ON  L7K 0X7,519-927-5800,43.858774,-79.993933,
Caledon,Caledon Library - Inglewood Branch ,"15825 McLaughlin Road  Caledon, ON L7C 1H4",905-838-3324,43.799592,-79.937146,
Caledon,Caledon Library - Margaret Dunn Valleywood Branch ,"20 Snelcrest Drive  Caledon, ON  L7C 1B5",905-843-0457,43.743733,-79.836225,
Mississauga,Carmen Corbasson CC                     ,1399 Cawthra Rd Mississauga On L5G-4L1,905-615-4800,43.57807198,-79.57656425,Carmen Corbasson CC
Brampton,Cassie Campbell Community Centre,"1050 Sandalwood, Brampton, ON  L7A",905-840-4041,43.699155,-79.820663,Cassie Campbell
Mississauga,Cawthra Estate,1507 Cawthra Rd  Mississauga  On  L5G 4L1,905-615-4800,43.58100227,-79.57891712,
Mississauga,Cawthra Park Swimming Pool,1305 Cawthra Rd  Mississauga  On  L5G 4L1,905-615-4800,43.57617,-79.573444,Cawthra Park Secondary School Pool
Mississauga,Celebration Square,300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,
Mississauga,Celebration Square,300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,
Brampton,Central Public School,"Brampton, ON  L6V 1H6",905-874-2810,43.69023,-79.763111,Central Public School
Mississauga,Century City,933 Focal Rd Mississauga On L5V-1M8,311,43.59108834,-79.67598768,Century City Park - P-336 
Brampton,Century Gardens Recreation Centre,"24 Alexander, Street Brampton, ON  L6V 2N2",905-874-2814,43.708493,-79.75364,Century Gardens
Brampton,Chinguacousy Wellness Centre,"995 Peter Robertson Boulevard, Brampton, ON  L6R 2E9",905-789-6111,43.750056,-79.742938,Chinguacousy Wellness Centre
Brampton,Chris Gibson Recreation Centre,"125 McLaughlin Road, Brampton, ON  L6X 1Y9",905-874-2820,43.682801,-79.779244,Chris Gibson
Mississauga,Churchill Meadows Library               ,3801 Thomas St Mississauga On L5M-7G2,905-615-4735,43.55305869,-79.74674046,Churchill Meadows Library
Brampton,Civic Centre,"150 Central Park Dr, Brampton ON L6T-2T9",905-793-2511,43.718402,-79.719754,Civic Centre
Mississauga,Civic Fitness Centre,300 City Centre Dr Mississauga On L5B-3C1,905-896-5495,43.58916576,-79.64405553,Civic Fitness Centre
Mississauga,Clarke Hall,161 Lakeshore Rd W  Mississauga  On L5H 1G3,905-615-4840,43.54810772,-79.58895247,
Mississauga,Clarkson CC                             ,2475 Truscott Dr Mississauga On L5J-2B3,905-615-4840,43.51123422,-79.64991559,Clarkson CC
Mississauga,Clarkson Secondary School,2524 Bromsgrove Rd Mississauga On L5J-1L8,905-822-6700,43.50400261,-79.64574243,Clarkson Secondary School
Brampton,County Court Fieldhouse,,,,,County Court Fieldhouse
Mississauga,Courtneypark Athletic Fields,600 Courtneypark Dr W Mississauga On L5W-1L9,311,43.62349514,-79.70636514,Courtneypark^Courtneypark Athletic Fields - P-445
Brampton,Cyril Clark Library & Lecture Hall,20 Loaferês Lake Lane,905-793-4636,43.714373,-79.824473,Cyril Clark Library & Lecture Hall
Mississauga,David Ramsey Outdoor Pool,2470 ThornLodge Drive,,43.52629886,-79.6709478,
Mississauga,Dixie Curling Club,3071 Palstan Rd Mississauga On L4Y-2Z7,905-276-1711,43.60609113,-79.59120893,
Mississauga,Don McLean Westacres Outdoor Pool,2166 Westfield Drive,,43.59136095,-79.58301366,
Mississauga,Don Mclean Westacres Pool,2166 Westfield Dr  Mississauga  On L4Y 1P7,905-615-4288,43.59127369,-79.58287629,
Mississauga,Don Rowing Club Grounds,81 Lakeshore Rd E Mississauga On L5G-1C9,905-274-1871,43.55263261,-79.58407959,Don Rowing Club 
Brampton,Donald M. Gordon Chinguacousy Park,"340 Vodden Street, East Brampton, ON  L6S 6G7",905-458-6555,43.725173,-79.718723,Chinguacousy Park Ski Chalet Community Centre
Brampton,Earnscliffe Recreation Centre,"44 Eastbourne Drive, Brampton, ON  L6T 3M2",905-792-2224,43.723343,-79.698671,Earnscliffe
Brampton,Ebenezer Community Hall,"4494 Gore Road, Brampton, ON  L6P 8Z8",905-791-2240,43.765283,-79.670861,Ebenezer
Brampton,Eldorado Park,"8520 Creditview Road, Brampton, ON",905-874-2860,43.647325,-79.779491,Eldorado Park
Brampton,Ellen Mitchell Recreation Centre,"922 North Park Drive, Brampton, ON  L6S 3Y5",905-791-4811,43.734166,-79.744,Ellen Mitchell
Mississauga,Erin Meadows CC                         ,2800 Erin Centre Blvd Mississauga On L5M-6R5,905-615-4750,43.55683561,-79.71736732,Erin Meadows CC
Mississauga,Erin Mills Town Centre,5100 Erin Mills Parkway Mississauga On L5M-4Z5,905-569-1981,43.55835677,-79.71209061,
Mississauga,Erin Mills Twin Arenas,3205 Unity Dr  Mississauga  On L5L 4L5,905-615-4760,43.53666686,-79.71138701,Erin Mills Twin Arena
Mississauga,Erindale Community Hall,1620 Dundas Road West,,43.54454052,-79.6543327,
Mississauga,Erindale Outdoor Pool,1244 Shamir Cres.,,43.55904306,-79.65450685,
Mississauga,Erindale Pool,1244 Shamir Cres  Mississauga  On  L5C 1L1,905-896-5503,43.55888301,-79.65441415,
Brampton,FCCC Sports Admin Offices -  D Building,,,,,FCCC Sports Admin Offices -  D Building
Brampton,Flower City Lawn Bowling,,,,,Flower City Lawn Bowling
Brampton,Flower City Seniors Centre,,905-874-3500,43.67131,-79.769492,James F. McCurry Victoria Park Arena Flower City Seniors Centre
Brampton,Four Corners Brampton Library,65 Queen Street East,905-793-4636,43.687477,-79.757851,
Mississauga,Frank McKechnie CC and Library          ,310 Bristol Rd E Mississauga On L4Z-3V5,905-615-4660,43.61611275,-79.65303845,Frank McKechnie CC and Library
Brampton,Gage Park,53 Main St S,905-874-2665,43.683812,-79.757152,Gage Park Brampton
Brampton,Garden Square,60-86 Main St N,905-874-2800,43.686594,-79.760198,Garden Square
Mississauga,Garnetwood Park P-135,1996 Rathburn Road East,,43.63823827,-79.59262609,
Mississauga,Glenforest Swimming Pool,3575 Fieldgate Dr  Mississauga  On  L4X 2J6,905-6154630,43.625749,-79.593001,Glenforest Secondary School Pool
Brampton,Gore Meadows Community Centre & Library,"10150 The Gore Road North, Brampton, ON L6P 0A6",905-874-3477,43.7934,-79.692146,Gore Meadows
Brampton,Greenbriar Recreation Centre,"1100 Central Park Drive, Brampton, ON  L6S 2C9",905-791-2240,43.735437,-79.716148,Greenbriar
Mississauga,Hershey Centre,5500 Rose Cherry Place,,43.63172551,-79.65380965,
Mississauga,Hershey Sportzone-Community Rinks (Arena),5500 Rose Cherry Pl Mississauga On L4Z-4B6,905-502-9100,43.63070408,-79.65333027,Hershey Sports Complex
Brampton,Higher Ground Neighbourhood Outreach,42 Scott Street,416-802-7664,43.691044,-79.758269,Higher Ground Neighbourhood Outreach
Brampton,Historic Bovaird House,563 Bovaird Drive East,905-874-2804,43.718047,-79.77414,Historic Bovaird House
Brampton,Howden Recreation Centre,"150 Howden Boulevard, Brampton, ON",905-793-4645,43.72223,-79.730012,Howden
Mississauga,Huron Heights Park P-273,4500 Central Pky East,,43.61018282,-79.64029511,Huron Heights Park - P-273
Mississauga,Huron Park CC                           ,830 Paisley Blvd W Mississauga On L5C-3P5,905-615-4820,43.55908117,-79.63286903,Huron Park -P-026^Huron Park CC
Brampton,Huttonville Community Centre,"2322 Embelton Road, Brampton, ON  L6S 6G7",905-874-2820,43.641083,-79.809392,
Mississauga,Iceland Mississauga                     ,705 Matheson Blvd E  Mississauga  L4Z 3X9,905-615-4680,43.62854499,-79.64866629,Iceland Mississauga
Brampton,James F. McCurry Victoria Park Arena,"20 Victoria Crescent, Brampton, ON  L6T 1E4",905-793-7500,43.704786,-79.697453,Terry Miller
Brampton,Jim Archdekin Recreation Centre,"292 Conestoga Drive, Brampton, ON  L6Z 3M1",905-840-1023,43.717628,-79.789399,Jim Archdekin
Brampton,Ken Giles Recreation Centre,"370 Bartley Bull Parkway, Brampton, ON  L6W 2L8",905-874-2861,43.67687,-79.726938,Ken Giles Recreation Centre
Brampton,Knightsbridge Senior Centre,"1A Knightsbridge Road, Brampton, ON  L6T 4B7",905-792-7422,43.716989,-79.718389,Knightsbridge
Mississauga,Lake Aquitaine Park P-102,2750 Aquataine Ave,,43.58572113,-79.75459494,Lake Aquitaine Park - P-102
Mississauga,Lakefront Promenade,800 Lakefront Promenade Mississauga On L5E-3G9,311,43.56791481,-79.55666183,Lakefront Promenade Marina 
Mississauga,Lakeview Golf Course,1190 Dixie Rd  Mississauga  On L5E 2P4,905-615-4653,43.58706878,-79.55794293,
Mississauga,Lancaster Public School,7425 Netherwood Road,,43.71823406,-79.64746137,
Brampton,Lester B Pearson,150 Central Park Drive,905-874-2800,43.718402,-79.719754,Lester B Pearson
Mississauga,Lewis Bradley Outdoor Pool,745 Inverhouse Drive,,43.50848651,-79.62011027,
Mississauga,Lions Club Of Credit Valley Outdoor Pool,20 Rosewood Ave  Mississauga  On L5G 3H9,905-615-4830 ,43.55713532,-79.58271673,
Mississauga,Lions Club of Credit Valley Outdoor Pool,20 Rosewood Avenue,,43.55724773,-79.58277941,
Mississauga,Lisgar Fields,3805 Doug Leavens Blvd Mississauga On,311,43.57157131,-79.77715446,Lisgar Fields - P-359 
Brampton,Loafer's Lake Recreation Centre,"30 Loafer's Lake Lane, Brampton, ON  L6Z 1X9",905-846-2370,43.725569,-79.798758,Loafers Lake
Mississauga,Lorne Park Hall,1288 Lorne Park Rd Mississauga On L5H-3B1,905-615-4840,43.53111653,-79.62204821,Lorne Park Hall
Mississauga,Malton Arena,3430 Derry Road E  Mississauga  On  L4T 1A9,905-615-4640,43.71265829,-79.63147824,
Mississauga,Malton CC                               ,3540 Morning Star Dr Mississauga On L4T-1Y2,905-615-4640,43.72319511,-79.63900141,Malton CC
Mississauga,Marco Muzzo Memorial Woods Park P-476,5098 Perennial Drive,,43.54244969,-79.72868501,Marco Muzzo Memorial Woods Park - P-476
Brampton,McMurchy Centre,247ÊMcMurchyÊAve South ON L6Y-1Z4,905-874-2875,43.666221,-79.745387,McMurchy Centre
Mississauga,Meadow Park P-038,2203 Truscott Drive,,43.51782765,-79.64361144,
Mississauga,Meadowvale CC                           ,6655 Glen Erin Dr Mississauga On L5N-3L4,905-615-4710,43.58561273,-79.75586205,Meadowvale CC
Mississauga,Meadowvale Four Rinks,2160 Torquay Mews  Mississauga  On  L5N 2M6,905-615-4730,43.5950981,-79.74148123,Meadowvale 4 Rinks
Mississauga,Meadowvale Theatre,6315 Montevideo Road  Mississauga  On  L5N 4G7,905-615-4720,43.585,-79.748,
Mississauga,Meadowvale Village Hall,6970 Second Line West,,43.62635953,-79.72732277,
Brampton,Memorial Arena,"69 Elliott Street, Brampton, ON  L6Y 1W2",905-874-2874,43.678844,-79.759117,
Mississauga,Memorial Park,"20 Lakeshore Road East Mississauga, Ontario",,43.551115,-79.586285,
Mississauga,Memorial Park,"20 Lakeshore Road East Mississauga, Ontario",,43.551115,-79.586285,
Mississauga,Mississauga Burnhamthorpe Rd. YMCA Centre,"325 Burnhamthorpe Rd W, Mississauga ON L5B 3R2",(905) 897-9622,-79.64426,43.58684,
Mississauga,Mississauga Canoe Club,31 Front St N Mississauga On L5H-2E1,905-274-2127,43.55099361,-79.59052841,Mississauga Canoe Club 
Mississauga,Mississauga Champlain Trail YMCA Centre,"895 Ceremonial Drive Mississauga, ON L5R 3B5",(905) 507-1058,-79.67871,43.60333,
Mississauga,Mississauga City Hall (Civic Centre),300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,Civic Centre
Mississauga,Mississauga Central Library             ,300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,Civic Centre
Mississauga,Mississauga Credit Valley YMCA Centre,"2365 Credit Valley Road Mississauga, ON L5M 4G8",(905) 828-9295,-79.706862,43.554613,
Mississauga,Mississauga David Leeder YMCA Centre,"6900 Gooderham Estate Blvd Mississauga, ON L5W 1B4",(647) 298-1409,-79.722303,43.627912,
Mississauga,Mississauga Derry West Village YMCA Centre,"620 Twain Avenue Mississauga, ON L5W 1M1",(647) 273-3514,-79.722998,43.641308,
Mississauga,Mississauga Garthwood YMCA Centre,"3245 Colonial Drive Mississauga, ON L5L 4K3",(905) 607-2670,-79.691927,43.523706,
Mississauga,Mississauga Middlebury YMCA Centre,"5482 Middlebury Drive Mississauga, ON L5M 5G7",(905) 821-2169,-79.72156,43.566229,
Mississauga,Mississauga Our Lady of Good Voyage YMCA Centre,"5850 River Grove Ave, Mississauga ON L5M 4W2",(905) 858-0052,-79.710274,43.592421,
Mississauga,Mississauga Queen of Heaven YMCA Day Camp,"1198 Alexandra Avenue Mississauga, ON L5E 2A5",(877) 303-2267,-79.56689,43.57826,
Mississauga,Mississauga Seniors' Centre             ,1389 Cawthra Rd Mississauga On L5G-4L1,905-615-4810,43.57852917,-79.57510167,Mississauga Seniors' Centre
Mississauga,Mississauga St. Bernard of Clairvaux YMCA Day Camp,"3345 Escada Drive Mississauga, ON L5M 7V5",(647) 267-2400,-79.73565,43.54758,
Mississauga,Mississauga St. Dunstan YMCA Centre,"1525 Cuthbert Avenue Mississauga, ON L5M 3R6",(905) 567-6693,-79.686756,43.579458,
Mississauga,Mississauga St. Hilary YMCA Centre,"5070 Fairwind Drive Mississauga, ON L5R 2N4",(905) 568-1549,-79.66105,43.604837,
Mississauga,Mississauga Valley CC                   ,1275 Mississauga Valley Blvd Mississauga On L5A-3R8,905-615-4670,43.59655452,-79.62411546,Mississauga Valley CC^Mississauga Central Library
Mississauga,Mississauga Valley Gymnasium            ,1395 Mississauga Valley Blvd Mississauga On L5A-3R8,905-615-4670,43.59686615,-79.62522264,Mississauga Valley Gymnasium
Mississauga,Mississauga Valley Park,1275 Mississauga Valley Blvd Mississauga On L5A-3R8,311,43.59633152,-79.62180108,Mississauga Valley Park - P-096 
Brampton,Mount Pleasant,100 Commuter Drive Brampton ON,(905) 793-4636,43.675723,-79.821353,Mount Pleasant
Mississauga,Neebin Park P-443,635 Kaiser Drive,,43.63805221,-79.72270728,Neebin Park - P-443
Brampton,Norton Place Park,170 Clark Boulevard Brampton ON,905-874-5960,43.709224,-79.724265,
Mississauga,Ontario Centre for Classical Sports     ,3750 Laird Rd Mississauga On L5L-0A6,905-820-5151,43.52159379,-79.70914731,Ontario Centre for Classical Sports
Brampton,Peel Art Gallery Museum + Archives,9 Wellington St E Brampton On L6W 1Y1,905-791-4055,43.6851,-79.75764,Peel Art Gallery Museum + Archives
Brampton,Peel District School Board,,,,,Peel District School Board
Mississauga,Port Credit Library,20 Lakeshore Rd E Mississauga On L5G-1C8,905-615-4835,43.55165677,-79.58644557,Port Credit Branch Library
Mississauga,Port Credit Memorial Park,32 Stavebank Rd Mississauga On,311,43.55303422,-79.58901863,Port Credit Memorial Arena^Port Credit Memorial Park 
Mississauga,Port Credit Outdoor Pool,20 Rosewood Avenue,,43.55724773,-79.58277941,
Brampton,Professor's Lake Recreation Centre,"1660 North Park Drive, Brampton, ON",905-791-7751,43.746297,-79.734499,
Mississauga,Quenippenon Meadows,2625 Erin Centre Blvd Mississauga On,311,43.56225795,-79.7160511,Quenippenon Meadows Park - P-324 
Mississauga,River Grove CC                          ,5800 River Grove Ave Mississauga On L5M-4R9,905-615-4780,43.58976746,-79.71217893,River Grove CC
Mississauga,Rogers Tv Mississauga,3573 Wolfedale Rd Mississauga On L5C-3T6,905-270-2124,43.57452244,-79.65157947,
Brampton,Rose Theatre,1 Theatre Lane,905-874-2800,43.68711,-79.760098,Rose Theatre Brampton
Mississauga,Rosebush Common Park P-341,4890 Creditview Road,,43.57562106,-79.68312903,Rosebush Common Park - P-341
Mississauga,Sandford Farm,845 White Clover Way Mississauga On  L5V 0C1,311,43.58783783,-79.66911366,Sandford Farm Park- P-322 
Mississauga,Serson Park P-002,1100 Pelham Avenue,,43.58253315,-79.56201388,
Mississauga,Settler's Green Public School,5800 Montevideo Road,,43.57839894,-79.75053794,
Brampton,Snelgrove Community Centre,"11692 Hurontario Street, Brampton, ON  L7A 1E6",905-840-1023,43.730825,-79.821757,Professors  Lake
Mississauga,South Common CC                         ,2233 South Millway Mississauga On L5L-3H7,905-615-4770,43.54235713,-79.6849029,South Common CC
Brampton,South Fletcher's Sportsplex,"500 Ray Lawson Boulevard, Brampton, ON  L6y 5B3",905-874-2856,43.653,-79.73509,Snelgrove
Brampton,St. Thomas Aquinas,25 Corporation Drive,905-791-1195,43.73865,-79.712601,St. Thomas Aquinas
Mississauga,Streetsville Outdoor Pool,335 Church Street,,43.57963432,-79.70780966,
Mississauga,Streetsville Pool,335 Church St  Mississauga  On  L5M 1M6,905-615-4335,43.57973495,-79.70769385,Streetsville Outdoor Pool^Vic Johnston Community Centre
Brampton,Terry Miller Recreation Centre,"1295 Williams Parkway, Brampton, ON  L6S 3J8",905-791-8211,43.733437,-79.730532,South Fletchers
Mississauga,Thornlodge Park P-051,2405 Homelands Drive,,43.5245074,-79.66886907,Thornlodge Park - P-051
Mississauga,Tom Chater Memorial Park P-291,3195 The Collegeway,,43.52829406,-79.69939161,Tom Chater Memorial Park - P-291
Mississauga,Tomken Twin Arena                       ,4495 Tomken Rd  Mississauga  On L4W 1J9,905-615-4620,43.62407943,-79.62368606,Tomken Twin Arena
Mississauga,Vic Johnston Community Centre,335 Church Street Mississauga On L5M 1M6,905-826-3011,43.58005631,-79.70867423,
Mississauga,Victory Park,3055 Victory Cres,,43.70962015,-79.64487618,
