City,Facility Name,Organization,Full Address,Phone,Latitude,Longitude,Aliases (optional)
Mississauga,Port Credit Outdoor Pool,City of Mississauga,20 Rosewood Avenue,,43.55724773,-79.58277941,
Mississauga,Quenippenon Meadows,City of Mississauga,2625 Erin Centre Blvd Mississauga On,311,43.56225795,-79.7160511,Quenippenon Meadows Park - P-324 
Mississauga,River Grove CC                          ,City of Mississauga,5800 River Grove Ave Mississauga On L5M-4R9,905-615-4780,43.58976746,-79.71217893,River Grove CC
Mississauga,Rogers Tv Mississauga,City of Mississauga,3573 Wolfedale Rd Mississauga On L5C-3T6,905-270-2124,43.57452244,-79.65157947,
Mississauga,Rosebush Common Park P-341,City of Mississauga,4890 Creditview Road,,43.57562106,-79.68312903,Rosebush Common Park - P-341
Mississauga,Sandford Farm,City of Mississauga,845 White Clover Way Mississauga On  L5V 0C1,311,43.58783783,-79.66911366,Sandford Farm Park- P-322 
Mississauga,Serson Park P-002,City of Mississauga,1100 Pelham Avenue,,43.58253315,-79.56201388,
Mississauga,Settler's Green Public School,City of Mississauga,5800 Montevideo Road,,43.57839894,-79.75053794,
Mississauga,South Common CC                         ,City of Mississauga,2233 South Millway Mississauga On L5L-3H7,905-615-4770,43.54235713,-79.6849029,South Common CC
Mississauga,Streetsville Outdoor Pool,City of Mississauga,335 Church Street,,43.57963432,-79.70780966,
Mississauga,Streetsville Pool,City of Mississauga,335 Church St  Mississauga  On  L5M 1M6,905-615-4335,43.57973495,-79.70769385,Streetsville Outdoor Pool^Vic Johnston Community Centre
Mississauga,Thornlodge Park P-051,City of Mississauga,2405 Homelands Drive,,43.5245074,-79.66886907,Thornlodge Park - P-051
Mississauga,Tom Chater Memorial Park P-291,City of Mississauga,3195 The Collegeway,,43.52829406,-79.69939161,Tom Chater Memorial Park - P-291
Mississauga,Tomken Twin Arena                       ,City of Mississauga,4495 Tomken Rd  Mississauga  On L4W 1J9,905-615-4620,43.62407943,-79.62368606,Tomken Twin Arena
Mississauga,Vic Johnston Community Centre,City of Mississauga,335 Church Street Mississauga On L5M 1M6,905-826-3011,43.58005631,-79.70867423,
Mississauga,Victory Park,City of Mississauga,3055 Victory Cres,,43.70962015,-79.64487618,
Mississauga,Churchill Meadows Library               ,Mississauga Library System,3801 Thomas St Mississauga On L5M-7G2,905-615-4735,43.55305869,-79.74674046,Churchill Meadows Library
Mississauga,Mississauga Central Library             ,Mississauga Library System,300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,Civic Centre
Mississauga,Port Credit Library,Mississauga Library System,20 Lakeshore Rd E Mississauga On L5G-1C8,905-615-4835,43.55165677,-79.58644557,Port Credit Branch Library
Mississauga,Bolton YMCA Child Care Centre,YMCA,"12295 Queen Street South Bolton, ON L7E 5T5",(905) 857-3531,-79.719801,43.867007,
Brampton,Brampton Goldcrest YMCA Day Camp,YMCA,"24 Goldcrest Road Brampton, ON L6B 1G3",(647) 273-4596,-79.72158,43.72977,
Brampton,Brampton Grenoble YMCA Centre,YMCA,"33 Greenbriar Road Brampton, ON L6S 1V8",(647) 274-2043,-79.71684,43.738996,
Brampton,Brampton Ingleborough YMCA Centre,YMCA,"60 Ingleborough Drive Brampton, ON L6X 0X5",(647) 271-0357,-79.803336,43.658977,
Brampton,Brampton Russell Barber YMCA Centre,YMCA,"255 North Park Drive Brampton, ON L6S 6A5",(905) 457-1383,-79.75143,43.723413,
Brampton,Brampton St. Aidan YMCA Day Camp,YMCA,"34 Buick Blvd Brampton, ON L7A 3B9",(647) 448-9400,-79.837,43.696,
Brampton,Brampton Union St. YMCA Centre,YMCA,"20 Union St, Brampton ON L6V 1R2",(905) 451-9622,-79.759463,43.687797,
Mississauga,Mississauga Burnhamthorpe Rd. YMCA Centre,YMCA,"325 Burnhamthorpe Rd W, Mississauga ON L5B 3R2",(905) 897-9622,-79.64426,43.58684,
Mississauga,Mississauga Champlain Trail YMCA Centre,YMCA,"895 Ceremonial Drive Mississauga, ON L5R 3B5",(905) 507-1058,-79.67871,43.60333,
Mississauga,Mississauga Credit Valley YMCA Centre,YMCA,"2365 Credit Valley Road Mississauga, ON L5M 4G8",(905) 828-9295,-79.706862,43.554613,
Mississauga,Mississauga David Leeder YMCA Centre,YMCA,"6900 Gooderham Estate Blvd Mississauga, ON L5W 1B4",(647) 298-1409,-79.722303,43.627912,
Mississauga,Mississauga Derry West Village YMCA Centre,YMCA,"620 Twain Avenue Mississauga, ON L5W 1M1",(647) 273-3514,-79.722998,43.641308,
Mississauga,Mississauga Garthwood YMCA Centre,YMCA,"3245 Colonial Drive Mississauga, ON L5L 4K3",(905) 607-2670,-79.691927,43.523706,
Mississauga,Mississauga Middlebury YMCA Centre,YMCA,"5482 Middlebury Drive Mississauga, ON L5M 5G7",(905) 821-2169,-79.72156,43.566229,
Mississauga,Mississauga Our Lady of Good Voyage YMCA Centre,YMCA,"5850 River Grove Ave, Mississauga ON L5M 4W2",(905) 858-0052,-79.710274,43.592421,
Mississauga,Mississauga Queen of Heaven YMCA Day Camp,YMCA,"1198 Alexandra Avenue Mississauga, ON L5E 2A5",(877) 303-2267,-79.56689,43.57826,
Mississauga,Mississauga St. Bernard of Clairvaux YMCA Day Camp,YMCA,"3345 Escada Drive Mississauga, ON L5M 7V5",(647) 267-2400,-79.73565,43.54758,
Mississauga,Mississauga St. Dunstan YMCA Centre,YMCA,"1525 Cuthbert Avenue Mississauga, ON L5M 3R6",(905) 567-6693,-79.686756,43.579458,
Mississauga,Mississauga St. Hilary YMCA Centre,YMCA,"5070 Fairwind Drive Mississauga, ON L5R 2N4",(905) 568-1549,-79.66105,43.604837,
Brampton,Artway Gallery at Shoppers World,,399 Main St S,905-792-2851,43.667514,-79.7356,Artway Gallery at Shoppers World
Brampton,Balmoral Recreation Centre,City of Brampton,"225 Balmoral Drive, Brampton, ON  L6T 1V1",905-793-8222,43.7073143,-79.71296668,Balmoral
Brampton,Beaux-Arts Brampton,City of Brampton,70-74 Main St S,905-454-5677,43.6822,-79.754917,Beaux-Arts Brampton
Brampton,Brampton Curling Club,City of Brampton,,,,,Brampton Curling Club
Brampton,Brampton Soccer Centre,City of Brampton,"1495 Sandalwood, Brampton, ON L6R",905-458-4036,43.743073,-79.768853,Brampton Soccer Centre
Brampton,Brampton Wilderness Centre,City of Brampton,,,,,Brampton Wilderness Centre
Brampton,Cassie Campbell Community Centre,City of Brampton,"1050 Sandalwood, Brampton, ON  L7A",905-840-4041,43.699155,-79.820663,Cassie Campbell
Brampton,Central Public School,City of Brampton,"Brampton, ON  L6V 1H6",905-874-2810,43.69023,-79.763111,Central Public School
Brampton,Century Gardens Recreation Centre,City of Brampton,"24 Alexander, Street Brampton, ON  L6V 2N2",905-874-2814,43.708493,-79.75364,Century Gardens
Brampton,Chinguacousy Wellness Centre,City of Brampton,"995 Peter Robertson Boulevard, Brampton, ON  L6R 2E9",905-789-6111,43.750056,-79.742938,Chinguacousy Wellness Centre
Brampton,Chris Gibson Recreation Centre,City of Brampton,"125 McLaughlin Road, Brampton, ON  L6X 1Y9",905-874-2820,43.682801,-79.779244,Chris Gibson
Brampton,Civic Centre,City of Brampton,"150 Central Park Dr, Brampton ON L6T-2T9",905-793-2511,43.718402,-79.719754,Civic Centre
Brampton,County Court Fieldhouse,City of Brampton,,,,,County Court Fieldhouse
Brampton,Cyril Clark Library & Lecture Hall,City of Brampton,20 Loafers Lake Lane,905-793-4636,43.714373,-79.824473,Cyril Clark Library & Lecture Hall
Brampton,Donald M. Gordon Chinguacousy Park,City of Brampton,"340 Vodden Street, East Brampton, ON  L6S 6G7",905-458-6555,43.725173,-79.718723,Chinguacousy Park Ski Chalet Community Centre
Brampton,Earnscliffe Recreation Centre,City of Brampton,"44 Eastbourne Drive, Brampton, ON  L6T 3M2",905-792-2224,43.723343,-79.698671,Earnscliffe
Brampton,Ebenezer Community Hall,City of Brampton,"4494 Gore Road, Brampton, ON  L6P 8Z8",905-791-2240,43.765283,-79.670861,Ebenezer
Brampton,Eldorado Park,City of Brampton,"8520 Creditview Road, Brampton, ON",905-874-2860,43.647325,-79.779491,Eldorado Park
Brampton,Ellen Mitchell Recreation Centre,City of Brampton,"922 North Park Drive, Brampton, ON  L6S 3Y5",905-791-4811,43.734166,-79.744,Ellen Mitchell
Brampton,FCCC Sports Admin Offices -  D Building,City of Brampton,,,,,FCCC Sports Admin Offices -  D Building
Brampton,Flower City Lawn Bowling,City of Brampton,,,,,Flower City Lawn Bowling
Brampton,Flower City Seniors Centre,City of Brampton,,905-874-3500,43.67131,-79.769492,James F. McCurry Victoria Park Arena Flower City Seniors Centre
Brampton,Four Corners Brampton Library,City of Brampton,65 Queen Street East,905-793-4636,43.687477,-79.757851,
Brampton,Gage Park,City of Brampton,53 Main St S,905-874-2665,43.683812,-79.757152,Gage Park Brampton
Brampton,Garden Square,City of Brampton,60-86 Main St N,905-874-2800,43.686594,-79.760198,Garden Square
Brampton,Gore Meadows Community Centre & Library,City of Brampton,"10150 The Gore Road North, Brampton, ON L6P 0A6",905-874-3477,43.7934,-79.692146,Gore Meadows
Brampton,Greenbriar Recreation Centre,City of Brampton,"1100 Central Park Drive, Brampton, ON  L6S 2C9",905-791-2240,43.735437,-79.716148,Greenbriar
Brampton,Higher Ground Neighbourhood Outreach,City of Brampton,42 Scott Street,416-802-7664,43.691044,-79.758269,Higher Ground Neighbourhood Outreach
Brampton,Historic Bovaird House,City of Brampton,563 Bovaird Drive East,905-874-2804,43.718047,-79.77414,Historic Bovaird House
Brampton,Howden Recreation Centre,City of Brampton,"150 Howden Boulevard, Brampton, ON",905-793-4645,43.72223,-79.730012,Howden
Brampton,Huttonville Community Centre,City of Brampton,"2322 Embelton Road, Brampton, ON  L6S 6G7",905-874-2820,43.641083,-79.809392,
Brampton,James F. McCurry Victoria Park Arena,City of Brampton,"20 Victoria Crescent, Brampton, ON  L6T 1E4",905-793-7500,43.704786,-79.697453,Terry Miller
Brampton,Jim Archdekin Recreation Centre,City of Brampton,"292 Conestoga Drive, Brampton, ON  L6Z 3M1",905-840-1023,43.717628,-79.789399,Jim Archdekin
Brampton,Ken Giles Recreation Centre,City of Brampton,"370 Bartley Bull Parkway, Brampton, ON  L6W 2L8",905-874-2861,43.67687,-79.726938,Ken Giles Recreation Centre
Brampton,Knightsbridge Senior Centre,City of Brampton,"1A Knightsbridge Road, Brampton, ON  L6T 4B7",905-792-7422,43.716989,-79.718389,Knightsbridge
Brampton,Lester B Pearson,City of Brampton,150 Central Park Drive,905-874-2800,43.718402,-79.719754,Lester B Pearson
Brampton,Loafer's Lake Recreation Centre,City of Brampton,"30 Loafer's Lake Lane, Brampton, ON  L6Z 1X9",905-846-2370,43.725569,-79.798758,Loafers Lake
Brampton,McMurchy Centre,City of Brampton,247 McMurchy Ave South ON L6Y-1Z4,905-874-2875,43.666221,-79.745387,McMurchy Centre
Brampton,Memorial Arena,City of Brampton,"69 Elliott Street, Brampton, ON  L6Y 1W2",905-874-2874,43.678844,-79.759117,
Mississauga,Mississauga City Hall (Civic Centre),City of Mississauga,300 City Centre Dr Mississauga On L5B-3C1,311,43.58916576,-79.64405553,Civic Centre
Brampton,Mount Pleasant,City of Brampton,100 Commuter Drive Brampton ON,(905) 793-4636,43.675723,-79.821353,Mount Pleasant
Brampton,Norton Place Park,City of Brampton,170 Clark Boulevard Brampton ON,905-874-5960,43.709224,-79.724265,
Brampton,Peel Art Gallery Museum + Archives,City of Brampton,9 Wellington St E Brampton On L6W 1Y1,905-791-4055,43.6851,-79.75764,Peel Art Gallery Museum + Archives
Brampton,Professor's Lake Recreation Centre,City of Brampton,"1660 North Park Drive, Brampton, ON",905-791-7751,43.746297,-79.734499,
Brampton,Rose Theatre,City of Brampton,1 Theatre Lane,905-874-2800,43.68711,-79.760098,Rose Theatre Brampton
Brampton,Snelgrove Community Centre,City of Brampton,"11692 Hurontario Street, Brampton, ON  L7A 1E6",905-840-1023,43.730825,-79.821757,Professors  Lake
Brampton,South Fletcher's Sportsplex,City of Brampton,"500 Ray Lawson Boulevard, Brampton, ON  L6y 5B3",905-874-2856,43.653,-79.73509,Snelgrove
Brampton,St. Thomas Aquinas,City of Brampton,25 Corporation Drive,905-791-1195,43.73865,-79.712601,St. Thomas Aquinas
Brampton,Terry Miller Recreation Centre,City of Brampton,"1295 Williams Parkway, Brampton, ON  L6S 3J8",905-791-8211,43.733437,-79.730532,South Fletchers
